symbol,bucket_start_ms,bbo_updates,avg_spread_bps,max_spread_bps,avg_top_bid_notional,avg_top_ask_notional,first_mid,last_mid,first_order_id,last_order_id,mid_return_bps,bbo_churn_per_min,order_id_delta,top_depth_notional,trade_count,trade_qty,signed_trade_qty,trade_notional,liquidation_count,liquidation_notional,abs_trade_imbalance,mark_oracle_basis_bps,mid_oracle_basis_bps,funding,next_funding,open_interest,price_updates,mark_oracle_basis_abs_bps,book_updates,avg_book_spread_bps,avg_bid_depth_l5,avg_ask_depth_l5,avg_bid_orders_l5,avg_ask_orders_l5,first_book_nonce,last_book_nonce,realized_vol_bps,toxicity_score
2Z,1777584060000,5.0,12.217470983506765,12.217470983506765,3981.1241999999997,675.39654,0.08185,0.08185,8207430320.0,8207431218.0,0.0,5.0,898.0,4656.52074,1.0,1.0,1.0,0.0819,0.0,0.0,1.0,-13.412180698652561,-20.118271047978844,-3.311e-05,-4.737e-05,1095236.0,10,13.412180698652561,136.0,12.217470983506765,244683.5588235294,263060.11029411765,13.963235294117647,14.985294117647058,8207408284.0,8207434368.0,0.0,0.4356387764282501
2Z,1777584120000,8.0,12.217470983506765,12.217470983506765,1551.15295,1252.9983375,0.08185,0.08185,8207437713.0,8207451807.0,0.0,8.0,14094.0,2804.1512875,1.0,1.0,1.0,0.0819,0.0,0.0,1.0,-13.534769726012362,-19.63151284583708,-3.311e-05,-4.442e-05,1095236.0,19,13.534769726012362,197.0,12.217470983506765,195511.64467005077,247159.60913705584,11.284263959390863,13.868020304568528,8207418382.0,8207451807.0,0.0,0.4585582546108862
2Z,1777584180000,2.0,12.217470983506765,12.217470983506765,93.1702,2215.68165,0.08185,0.08185,8207454824.0,8207454825.0,0.0,2.0,1.0,2308.85185,1.0,1.0,1.0,0.0819,0.0,0.0,1.0,-15.729597249150006,-19.63151284583708,-3.311e-05,-4.299e-05,1095236.0,19,15.729597249150006,211.0,12.217470983506765,193851.47393364928,254756.8767772512,10.545023696682465,13.985781990521327,8207441805.0,8207462621.0,0.0,0.41114484930274403
2Z,1777584240000,3.0,12.217470983506765,12.217470983506765,93.06113333333333,2215.668,0.08185,0.08185,8207468134.0,8207473602.0,0.0,3.0,5468.0,2308.7291333333333,2.0,2.0,0.0,0.1637,0.0,0.0,0.0,-14.754118349976967,-19.63151284583708,-3.311e-05,-4.168e-05,1095236.0,16,14.754118349976967,210.0,12.217470983506766,197871.08095238096,244742.7619047619,11.933333333333334,13.00952380952381,8207467958.0,8207465742.0,0.0,0.3304093567251462
2Z,1777584300000,1.0,12.217470983506765,12.217470983506765,92.92479999999999,2215.6407,0.08185,0.08185,8207487217.0,8207487217.0,0.0,1.0,0.0,2308.5654999999997,1.0,1.0,-1.0,0.0818,0.0,0.0,1.0,-14.754118349976967,-19.63151284583708,-3.311e-05,-4.046e-05,1095236.0,17,14.754118349976967,159.0,12.217470983506765,229804.72955974843,217520.679245283,10.49685534591195,10.566037735849056,8207468895.0,8207492267.0,0.0,0.40044984255510574
2Z,1777584360000,4.0,12.217470983506765,12.217470983506765,92.92479999999999,2215.68165,0.08185,0.08185,8207494316.0,8207498408.0,0.0,4.0,4092.0,2308.6064499999998,2.0,2.0,2.0,0.1638,0.0,0.0,1.0,-20.71402461313555,-26.80638479346874,-3.311e-05,-4.093e-05,1095236.0,16,20.71402461313555,184.0,12.217470983506765,214304.51630434784,255131.50543478262,12.967391304347826,14.36413043478261,8207492325.0,8207492002.0,0.0,0.43666216824111564
2Z,1777584420000,4.0,12.217470983506765,12.217470983506765,92.8839,1734.35535,0.08185,0.08185,8207507104.0,8207512463.0,0.0,4.0,5359.0,1827.23925,2.0,2.0,0.0,0.1637,0.0,0.0,0.0,-22.785427074449444,-26.80638479346874,-3.311e-05,-4.26e-05,1095236.0,19,22.785427074449444,217.0,12.217470983506766,191857.8202764977,180426.0599078341,11.078341013824884,10.488479262672811,8207492264.0,8207515456.0,0.0,0.34816689158794417
2Z,1777584480000,14.0,17.46313350911633,24.44987775061195,3570.243,5805.991271428572,0.08185,0.08174999999999999,8207520573.0,8207529704.0,-12.217470983508782,14.0,9131.0,9376.234271428571,2.0,2.0,2.0,0.1638,0.0,0.0,1.0,-18.66855385816784,-25.135438527990367,-3.311e-05,-4.486e-05,1095236.0,15,18.66855385816784,182.0,13.228592514151883,225045.4120879121,221508.37362637362,12.692307692307692,12.587912087912088,8207508260.0,8207515456.0,5.46381912645137,0.629565901934323
2Z,1777584540000,12.0,16.314878655282588,24.479804161565713,6269.236725,685.2045166666667,0.08174999999999999,0.0817,8207534876.0,8207543874.0,-6.116207951070152,12.0,8998.0,6954.441241666666,1.0,1.0,1.0,0.0818,0.0,0.0,1.0,-18.18204004929851,-30.384751491781383,-3.311e-05,-4.469e-05,1095236.0,17,18.18204004929851,191.0,17.298089580122966,288287.2827225131,232969.72251308901,15.534031413612565,12.172774869109947,8207516443.0,8207531779.0,5.464655530734945,0.6171502474134053
2Z,1777584600000,25.0,20.071343649208995,24.479804161565713,7749.118256000001,2197.9725399999998,0.0817,0.08174999999999999,8207548362.0,8207558970.0,6.11995104039087,25.0,10608.0,9947.090796,2.0,2.0,0.0,0.1633,0.0,0.0,0.0,-19.524100061012017,-24.405125076265023,-3.311e-05,-4.573e-05,1095206.0,19,19.524100061012017,220.0,20.694247790470808,270545.80454545456,225384.39545454545,14.927272727272728,13.568181818181818,8207546298.0,8207560407.0,6.969457795548743,0.5867633828160144
